student_id,cumulative_gpa,prereq_gpa,gpa_trend,credits_completed,avg_study_hours_weekly,lms_logins_per_week,assignment_submission_timing,forum_participation_count,video_lecture_completion_rate,study_session_regularity,co_curricular_hours_weekly,grit_proxy_score,final_outcome
S3152,3.33,3.07,0.188,59,6.1,14,On-Time,18,0.16,2.2,9.1,0.37,Pass
S9637,3.53,2.51,0.102,75,13.9,3,On-Time,3,0.04,2.8,6.2,0.37,Pass
S2406,3.94,2.19,-0.176,100,19.2,6,On-Time,18,0.79,5.4,14.8,0.27,Fail
S5500,3.77,2.93,-0.031,101,19.5,14,Late,15,0.15,4.9,10.0,0.91,At-Risk
S5263,3.48,2.91,-0.134,48,14.4,14,Late,8,0.87,2.9,14.5,0.50,At-Risk
S3777,2.16,3.70,0.032,106,21.2,12,Early,1,0.92,1.3,12.4,0.23,Fail
S9891,2.52,2.85,-0.063,37,9.0,4,Early,12,0.60,3.9,12.9,0.09,Pass
S3571,3.67,2.27,0.190,57,20.8,13,On-Time,1,0.61,2.8,8.8,0.66,Fail
S1531,2.30,2.29,-0.026,59,22.1,3,Early,2,0.90,2.2,0.8,0.78,At-Risk
S3366,3.68,2.03,-0.110,68,17.4,10,Early,17,0.10,5.7,5.7,0.35,Pass
S4666,3.86,2.13,0.022,19,21.3,9,Early,4,0.55,2.9,2.2,0.73,Pass
S4814,3.48,1.80,-0.026,102,16.5,12,Late,7,0.29,1.4,9.4,0.50,At-Risk
S2445,3.81,2.42,0.126,32,15.0,3,On-Time,0,0.75,5.2,4.4,0.42,At-Risk
S9789,2.19,3.45,-0.182,117,25.0,11,Late,17,0.69,1.9,2.6,0.97,Pass
S2353,2.54,1.58,-0.070,110,9.8,12,Early,2,0.83,1.4,12.3,0.81,At-Risk
S1681,3.25,2.65,0.177,35,11.0,10,Late,14,0.25,2.6,1.4,0.00,Pass
S5136,2.92,3.64,-0.036,89,12.5,8,Late,6,0.24,2.1,1.0,0.79,Pass
S9945,3.40,2.73,0.133,51,8.0,14,Late,7,0.51,4.9,9.2,0.35,Pass
S2967,3.55,3.73,-0.155,110,17.4,14,Early,15,0.76,2.6,8.1,0.82,Pass
S5894,2.14,1.64,0.134,119,5.4,11,Late,3,0.95,1.6,5.8,0.49,Fail
S6874,2.44,1.62,0.165,67,18.4,3,On-Time,3,0.01,5.8,3.1,0.89,Pass
S7750,3.71,2.14,-0.061,107,22.2,8,Early,6,0.60,1.9,14.2,0.26,At-Risk
S4410,3.28,3.35,0.084,34,6.2,6,Late,5,0.20,5.9,2.7,0.66,Pass
S7939,3.52,2.47,-0.138,75,7.4,6,Early,0,0.86,4.3,7.0,0.57,Pass
S9572,2.11,3.63,-0.168,91,10.4,14,On-Time,16,0.05,4.0,7.5,0.88,Fail
S1636,3.16,2.77,0.117,60,24.5,4,Late,17,0.67,4.5,11.0,0.50,Pass
S6977,2.55,3.68,0.093,56,6.9,11,On-Time,10,0.11,4.4,4.6,0.09,Pass
S8566,3.87,2.03,-0.141,90,21.2,7,On-Time,10,0.85,4.9,5.7,0.58,Pass
S6281,3.55,2.32,-0.095,106,10.2,5,Late,7,0.16,2.2,2.6,0.52,Pass
S7049,2.46,3.23,-0.069,20,23.9,6,On-Time,14,0.67,6.0,5.7,0.37,Pass
S8853,3.56,2.66,-0.150,36,9.9,15,Early,2,0.02,2.6,10.7,0.29,Pass
S5294,3.85,1.60,0.105,22,17.6,11,Late,6,0.78,3.0,11.4,0.17,Pass
S3694,3.30,1.90,0.151,32,13.7,15,Late,4,0.47,5.9,6.5,0.77,Pass
S6951,3.97,3.43,0.027,55,10.5,12,Late,16,0.24,4.5,9.1,0.19,At-Risk
S1613,2.93,1.75,0.064,97,14.1,3,Early,12,0.53,4.1,13.0,0.31,Pass
S5904,3.27,3.14,-0.139,87,23.9,13,Early,19,0.94,1.7,4.5,0.73,Fail
S8645,3.81,1.97,0.171,27,20.8,12,On-Time,7,0.93,3.3,13.6,0.17,Pass
S1320,2.69,3.32,-0.169,40,6.3,13,On-Time,13,0.20,4.9,14.7,0.80,Pass
S1725,2.68,2.10,-0.025,50,17.8,8,Late,19,0.84,3.3,6.7,0.62,Pass
S5945,2.11,3.03,-0.132,67,14.0,15,Late,6,0.60,4.8,4.3,0.90,Fail
S5609,2.42,3.71,-0.005,119,5.6,15,Late,5,0.85,2.4,3.1,0.44,Fail
S2651,3.31,1.62,0.150,20,14.7,9,Late,19,0.11,1.5,5.5,0.05,Pass
S1045,3.24,3.37,-0.044,75,8.3,11,Late,7,0.21,4.0,12.8,0.55,At-Risk
S2231,3.48,3.29,0.150,101,18.3,6,Late,5,0.45,4.0,1.1,0.12,Fail
S6199,2.40,3.66,-0.115,47,5.9,8,Late,1,0.33,4.1,5.6,0.94,Pass
S4452,3.14,2.12,0.174,59,10.7,15,Late,1,0.71,5.7,7.2,0.32,Pass
S7321,2.44,2.41,0.108,37,11.7,6,On-Time,6,0.48,5.8,10.0,0.83,Fail
S6342,2.66,2.88,-0.190,107,13.9,10,Late,18,0.16,1.9,9.0,0.07,Fail
S8671,3.90,2.46,0.136,55,14.0,13,Late,2,0.82,4.1,6.2,0.14,Pass
S3748,3.18,2.37,0.072,73,10.8,5,On-Time,7,0.44,3.2,5.5,0.98,Fail
S3690,2.53,2.09,0.067,70,23.7,8,Late,9,0.58,2.6,2.7,0.09,Pass
S4123,2.10,3.91,0.036,44,14.4,7,Early,9,0.84,4.5,13.3,0.21,Pass
S2421,3.00,3.59,0.072,97,6.0,5,On-Time,13,0.60,5.9,11.7,0.18,Fail
S5580,3.05,2.47,-0.005,101,23.1,11,On-Time,19,0.96,1.7,13.4,0.94,Pass
S7182,3.15,2.45,-0.003,93,18.4,9,On-Time,18,0.00,4.2,13.3,0.33,Pass
S5184,2.38,2.91,-0.106,69,19.9,3,On-Time,6,0.55,3.2,7.7,0.25,At-Risk
S8486,2.67,2.15,-0.151,100,12.1,10,Early,1,0.25,3.0,13.3,0.33,Pass
S9503,2.07,3.82,-0.122,38,17.3,5,Late,3,0.63,3.5,3.7,0.11,Pass
S1216,2.35,2.07,-0.004,84,19.6,9,Early,15,0.33,4.7,14.9,0.47,Pass
S2403,3.25,2.07,0.132,65,7.1,12,On-Time,17,0.82,2.8,2.5,0.70,Fail
S3043,3.79,3.58,-0.145,23,6.7,6,Early,12,0.23,1.4,9.0,0.50,Pass
S5091,2.17,2.85,0.032,111,14.7,6,On-Time,15,1.00,2.7,6.8,0.93,Pass
S3102,3.61,1.70,-0.110,20,9.7,8,On-Time,14,0.71,4.0,13.4,0.79,Fail
S3420,2.62,2.99,0.180,115,19.3,7,On-Time,18,0.12,3.5,1.3,0.28,Fail
S2910,2.16,2.42,0.107,116,17.9,9,Early,14,0.27,2.2,10.9,0.75,Pass
S3430,2.96,2.27,0.154,86,18.1,14,Late,16,0.33,2.7,12.9,0.83,At-Risk
S5540,2.77,3.11,-0.159,39,20.4,3,Late,8,0.38,1.2,10.5,0.48,Pass
S8145,3.55,2.94,-0.052,24,16.3,8,Late,1,0.36,4.2,9.1,0.53,Pass
S7045,3.46,3.58,0.056,21,18.4,14,Early,12,0.97,4.2,8.2,0.76,Pass
S5623,2.72,2.34,-0.080,62,21.7,7,On-Time,0,0.09,4.3,9.9,0.78,Pass
S8123,3.13,2.77,0.137,70,22.4,7,Early,1,0.15,1.6,10.7,0.13,Pass
S4250,3.26,3.61,0.029,117,24.5,10,Late,7,0.44,4.0,9.4,0.23,Pass
S1047,2.30,3.54,-0.017,98,14.4,3,On-Time,16,0.24,1.1,4.0,0.37,Pass
S7288,3.37,2.10,-0.013,97,21.7,14,Late,3,0.45,2.3,5.2,0.77,Pass
S3832,2.34,3.13,-0.199,95,15.3,14,Early,17,0.92,4.4,14.3,0.18,Fail
S7674,2.12,2.34,-0.105,18,6.9,12,Late,15,0.68,5.5,2.0,0.91,Pass
S6657,3.18,1.66,0.000,98,16.7,14,Early,12,0.82,4.5,8.7,0.06,Pass
S3061,3.47,3.16,0.194,55,5.4,13,Early,13,0.78,3.7,3.8,0.28,Fail
S1539,3.50,3.88,-0.015,98,18.2,5,Late,9,0.15,5.0,9.4,0.51,Pass
S4121,2.67,3.40,0.102,81,13.1,4,Early,12,0.36,2.0,10.3,0.41,Fail
S5254,3.51,3.90,-0.149,66,9.7,5,On-Time,10,0.78,5.6,1.5,0.44,Fail
S9090,3.26,3.36,0.162,80,21.8,6,Early,2,0.14,4.9,0.9,0.82,Pass
S3508,2.11,3.17,0.174,120,18.7,11,Late,12,0.39,2.8,9.8,0.85,Fail
S7563,2.58,1.71,0.084,65,9.0,5,Early,1,0.23,4.9,13.9,0.29,Pass
S5360,2.63,1.54,-0.090,76,22.2,4,Late,16,0.02,3.5,13.8,0.76,Pass
S4543,3.64,3.14,-0.109,117,11.7,11,On-Time,14,0.82,4.2,3.6,0.42,Fail
S9893,3.05,3.90,-0.017,94,24.0,13,Late,12,0.76,3.4,2.3,0.35,Pass
S1735,3.70,1.61,-0.040,36,7.3,10,Late,16,0.98,1.3,1.2,0.41,Pass
S2136,2.74,2.50,0.184,69,16.8,13,Early,2,0.76,2.4,1.0,0.42,Pass
S8098,3.15,1.70,-0.035,74,17.2,5,Early,18,0.79,4.5,9.4,0.11,At-Risk
S5237,3.63,2.41,0.159,116,9.9,11,Early,14,0.47,1.2,14.2,0.04,At-Risk
S7638,3.03,3.11,-0.074,103,17.3,9,Early,5,0.74,1.5,6.5,0.36,Pass
S8884,3.99,2.54,0.109,16,20.4,12,Late,13,0.07,3.8,0.4,0.46,Pass
S1455,2.99,3.27,0.147,86,12.0,6,On-Time,12,0.25,5.4,13.0,0.47,Pass
S7977,2.57,2.31,-0.021,71,11.5,9,Late,12,0.29,2.0,1.1,0.33,At-Risk
S7040,3.73,3.11,0.063,42,14.6,15,Late,7,0.62,1.6,13.0,0.04,Pass
S7548,3.40,4.00,-0.045,74,13.8,6,On-Time,3,0.32,4.7,3.7,0.06,Pass
S5824,2.02,3.39,-0.017,37,11.5,3,Late,0,0.07,1.3,13.9,0.04,Pass
S2937,2.97,3.14,-0.146,111,13.0,5,On-Time,3,0.08,5.4,3.7,0.53,At-Risk
S9972,2.11,1.71,0.132,96,11.8,11,Late,17,0.16,5.9,4.9,0.08,At-Risk
S7210,3.94,2.10,-0.179,112,21.9,5,Late,18,0.72,4.3,9.3,0.02,Pass
S5434,3.75,2.63,0.198,39,22.4,4,Late,17,0.35,3.2,9.2,0.94,Pass
S8834,3.36,1.71,-0.077,71,17.6,12,On-Time,13,0.29,2.5,6.2,0.35,Pass
S5235,2.63,3.40,0.174,75,7.5,6,On-Time,19,0.88,4.3,5.2,0.39,At-Risk
S3596,3.43,3.64,-0.161,77,23.7,4,Early,10,0.81,2.1,14.9,0.32,At-Risk
S6028,3.35,2.84,0.100,59,13.3,11,On-Time,3,0.88,1.8,1.0,0.24,At-Risk
S1775,2.67,3.28,-0.143,52,17.5,13,Late,8,0.43,2.9,3.0,0.38,Pass
S9890,2.92,3.34,-0.088,37,17.4,15,On-Time,13,0.72,4.9,8.1,0.64,Pass
S1569,3.66,3.30,-0.030,52,22.2,4,On-Time,8,0.95,5.0,10.0,0.55,Pass
S3366,2.66,3.43,0.179,80,24.1,4,On-Time,8,0.65,4.7,3.7,0.59,Fail
S9758,3.24,2.84,-0.139,54,24.1,5,Late,5,0.58,2.8,6.8,0.59,Fail
S1769,2.76,3.60,0.152,34,23.4,15,On-Time,10,0.60,1.6,1.4,0.77,Pass
S1635,3.26,2.33,-0.192,97,14.6,4,On-Time,4,0.86,5.2,13.4,0.44,At-Risk
S5723,3.16,2.58,-0.096,46,16.3,13,Early,7,0.36,3.7,6.5,0.60,Pass
S9171,3.79,3.87,0.068,22,17.7,7,On-Time,1,0.93,2.1,10.6,0.87,At-Risk
S4966,3.08,1.92,0.178,49,24.1,15,Late,15,0.88,1.4,4.0,0.49,At-Risk
S4440,2.83,2.35,-0.022,85,21.9,9,Late,8,0.03,2.2,5.6,0.39,Fail
S2389,2.98,3.52,-0.073,22,23.1,6,Late,7,0.91,3.1,11.2,0.43,At-Risk
S1292,2.50,2.06,-0.057,115,17.7,14,Early,4,0.22,2.0,10.7,0.47,Fail
S4342,2.99,2.95,-0.042,57,24.6,11,Early,3,0.87,2.2,13.6,0.77,At-Risk
S6271,3.82,1.57,-0.065,77,19.4,7,Late,13,0.33,5.8,11.6,0.91,Pass
S4171,3.92,3.27,-0.120,35,19.2,13,On-Time,17,0.92,1.0,9.5,0.25,Fail
S7791,3.89,1.59,0.084,20,12.7,15,On-Time,1,0.27,2.6,13.9,0.54,Fail
S4023,2.72,2.02,-0.059,71,6.7,7,Late,7,0.35,4.9,14.0,0.34,Pass
S3555,3.62,3.57,0.169,58,6.5,8,Late,7,0.44,3.4,3.2,0.16,Pass
S2890,2.43,3.87,0.177,22,10.8,3,On-Time,0,0.18,3.1,5.5,0.73,Pass
S3228,3.95,3.85,0.017,57,10.3,3,Late,10,0.50,5.4,14.8,0.64,Pass
S4902,2.68,3.84,0.055,95,18.7,5,Early,7,0.03,1.1,12.6,0.20,Pass
S6359,2.53,3.51,-0.004,91,16.4,4,Late,6,0.36,2.3,11.2,0.44,Pass
S2883,2.63,3.67,-0.187,91,5.7,4,Early,1,0.21,3.9,8.2,0.58,Pass
S9553,3.02,3.73,0.003,74,7.0,3,On-Time,10,0.39,5.6,3.8,0.20,Pass
S9137,2.44,3.82,-0.089,66,5.3,4,On-Time,2,0.09,5.7,3.3,0.12,Pass
S6893,2.73,1.91,0.166,59,6.5,6,On-Time,19,0.93,2.5,13.4,0.71,Pass
S7504,3.27,3.56,0.166,51,23.3,13,On-Time,19,0.72,5.4,9.1,0.00,Pass
S1609,2.89,3.32,0.032,26,18.6,5,On-Time,9,0.00,4.8,4.2,0.04,At-Risk
S6650,3.71,1.76,-0.199,19,18.0,13,Early,16,0.67,4.3,3.2,0.14,Fail
S2005,3.33,3.40,-0.138,28,8.4,14,Late,2,0.31,4.0,2.0,0.03,At-Risk
S5621,2.78,3.21,-0.009,93,24.5,8,On-Time,15,0.14,3.9,4.4,0.23,Pass
S1626,3.73,3.20,0.025,28,9.8,5,On-Time,15,0.47,3.3,5.1,0.88,At-Risk
S6631,3.36,3.14,0.099,27,24.7,11,On-Time,14,0.33,5.7,0.9,0.05,Pass
S6685,3.33,2.95,0.094,95,17.6,14,On-Time,4,0.50,4.5,5.7,0.14,Pass
S3118,2.23,2.32,0.028,107,21.7,9,Early,2,0.07,2.3,3.0,1.00,Pass
S2728,3.13,3.69,0.036,90,24.5,15,On-Time,9,0.52,2.9,13.4,0.83,Pass
S6034,2.44,2.83,-0.140,47,19.9,14,Early,7,0.62,4.3,8.7,0.91,Fail
S4564,2.65,2.13,-0.093,120,23.6,9,Early,1,0.81,1.7,7.9,0.90,Pass
S9396,2.36,1.90,-0.002,50,9.1,10,Late,18,0.85,3.6,3.6,0.08,Pass
S9428,3.08,3.56,0.048,67,15.4,5,Late,10,0.95,4.1,1.5,0.88,Pass
S3080,3.11,3.90,-0.182,77,14.8,7,Early,5,0.53,2.9,9.7,0.56,Pass
S6412,3.10,2.88,0.175,96,20.1,3,Late,4,0.39,5.8,13.4,0.82,At-Risk
S5870,2.56,2.99,0.002,108,12.3,6,Early,11,1.00,2.1,2.3,0.74,Fail
S6129,2.98,3.83,0.177,25,14.7,8,Late,8,0.12,3.8,5.0,0.43,Pass
S1754,3.73,3.81,0.190,104,6.9,15,On-Time,4,0.99,4.8,11.1,0.09,Fail
S9641,3.41,3.73,-0.195,98,15.0,15,Early,9,0.71,2.2,11.6,0.53,At-Risk
S4471,3.87,2.90,-0.079,108,18.4,15,Late,15,0.75,2.0,0.2,0.27,Fail
S6626,2.63,3.97,0.070,87,23.2,5,On-Time,12,0.50,2.8,10.1,0.74,Pass
S7308,3.80,3.18,0.076,49,10.6,3,On-Time,0,0.40,1.6,6.1,0.36,Fail
S2804,2.21,3.55,-0.067,16,19.8,15,On-Time,9,0.09,3.8,13.5,0.34,Pass
S7146,3.99,1.52,0.021,106,6.2,6,Late,13,0.53,4.3,10.7,0.48,Pass
S4605,3.24,3.21,-0.096,57,21.0,13,Late,4,0.11,3.0,5.8,0.50,At-Risk
S3758,2.97,2.06,0.054,35,6.4,15,Late,15,0.10,5.6,11.5,0.50,Pass
S6093,3.04,2.82,0.129,35,20.6,11,On-Time,19,0.15,3.7,14.4,0.66,At-Risk
S1357,2.29,2.50,-0.054,118,15.9,13,Early,15,0.49,4.4,7.2,0.19,Pass
S5139,2.42,1.73,0.189,115,17.3,9,Early,5,0.06,5.4,6.9,0.25,At-Risk
S3389,2.04,3.65,-0.014,119,11.9,11,On-Time,10,0.90,2.3,0.4,0.41,Fail
S3842,3.35,2.39,0.192,48,7.1,3,On-Time,12,0.36,2.4,1.6,0.56,Pass
S9582,2.78,2.02,0.123,71,19.5,5,On-Time,1,0.96,4.7,5.5,0.73,Pass
S2197,3.21,1.95,-0.035,16,20.3,10,Late,4,0.04,2.1,1.2,0.96,Pass
S6247,2.00,3.08,0.012,30,10.9,3,Late,14,0.55,2.9,14.5,0.22,Fail
S3024,3.49,2.18,-0.047,31,23.5,3,Late,7,0.50,5.7,6.4,0.26,At-Risk
S3816,3.13,2.58,-0.042,65,10.3,15,Late,13,0.98,2.2,11.4,0.47,Pass
S1135,3.02,2.26,-0.195,100,7.2,13,Early,14,0.82,4.2,1.9,0.46,At-Risk
S4647,2.96,3.62,-0.042,67,23.8,10,Early,12,0.26,1.8,6.6,0.88,Pass
S1755,3.70,2.48,-0.126,94,17.7,15,Late,14,0.19,1.7,7.2,0.60,At-Risk
S9066,3.66,1.70,0.042,108,13.4,14,On-Time,10,0.79,5.5,13.1,0.26,At-Risk
S5200,2.70,3.28,0.009,74,14.3,7,Early,17,0.73,4.0,10.4,0.98,Fail
S5668,3.20,2.99,-0.074,94,17.6,11,On-Time,19,0.18,4.0,13.3,0.57,Pass
S2790,3.16,2.68,0.049,109,11.7,14,Late,13,0.38,3.8,11.5,0.56,Pass
S8859,2.36,3.19,-0.056,66,15.4,7,On-Time,9,0.36,3.1,3.5,0.00,Pass
S2030,3.48,1.61,0.014,17,7.0,15,Late,14,0.20,2.6,8.5,0.65,At-Risk
S8656,2.17,2.04,0.103,16,16.1,5,On-Time,6,0.93,3.0,12.4,0.25,Pass
S9025,2.94,2.52,0.003,83,11.9,10,Late,18,0.83,3.0,3.6,0.79,Pass
S3734,3.88,3.41,0.016,30,14.2,7,On-Time,3,0.82,5.0,3.2,0.08,Fail
S4156,2.01,3.56,0.185,115,9.8,6,Late,19,0.23,2.7,11.3,0.98,Pass
S9722,3.45,3.55,0.155,45,9.2,6,Late,13,0.08,2.8,5.2,0.13,Fail
S9997,3.01,3.35,0.092,104,18.4,7,On-Time,6,0.65,5.1,12.1,0.05,Pass
S6749,2.50,2.48,-0.010,53,9.7,5,On-Time,7,0.04,1.1,7.7,0.92,Pass
S8495,3.35,3.94,0.017,78,16.2,15,Early,3,0.89,5.5,14.0,0.38,Pass
S6242,3.78,3.46,-0.168,117,23.7,7,On-Time,17,0.64,5.4,9.3,0.20,At-Risk
S4383,3.24,1.85,0.103,76,15.4,5,On-Time,12,0.77,3.7,12.6,0.76,Pass
S2973,3.17,3.10,-0.020,98,13.0,14,On-Time,8,0.07,2.8,9.7,0.45,Pass
S9858,3.95,2.26,-0.060,45,18.7,9,On-Time,9,0.85,3.6,0.4,0.63,Pass
S1357,2.09,2.13,-0.038,48,12.9,14,Late,4,0.59,3.9,6.0,0.71,Pass
S4500,2.44,3.82,-0.145,90,21.4,11,On-Time,16,0.44,2.6,9.8,0.46,At-Risk
S7996,2.51,1.73,-0.119,90,16.9,14,On-Time,17,0.67,1.4,7.1,0.61,Pass
S5445,2.68,1.54,-0.089,100,19.0,6,Late,2,0.83,3.7,9.5,0.42,Pass
S8477,2.43,3.07,-0.144,16,6.6,3,On-Time,18,0.34,4.4,7.6,0.68,Pass
S4807,3.30,2.90,0.197,53,18.8,4,On-Time,12,0.76,2.9,0.2,0.35,Fail
S9420,3.79,2.38,-0.031,74,5.9,4,Late,17,0.81,4.8,9.9,0.88,Pass
S8349,3.82,2.00,0.022,119,17.7,10,On-Time,14,0.15,3.4,8.4,0.84,Pass
S1774,3.01,1.72,-0.094,81,21.2,11,Early,7,0.29,3.7,5.3,0.40,At-Risk
S4404,3.40,1.85,0.011,61,24.0,7,Late,19,0.13,5.8,9.5,0.76,Pass
S7363,3.91,2.84,-0.097,56,5.8,4,Early,13,0.15,5.5,3.5,0.72,Pass
S7050,2.04,2.35,-0.105,31,24.6,8,Early,0,0.20,4.5,4.7,0.84,At-Risk
S1686,3.21,1.67,0.186,24,9.7,8,Early,3,0.26,1.8,6.3,0.90,Fail
