student_id,cumulative_gpa,gpa_trend,failed_courses_count,credits_per_semester_avg,attendance_percentage,stream_choice_satisfaction,lms_engagement_score,assignment_lateness_rate,library_resource_usage,co_curricular_involvement,help_seeking_behavior,scholarship_status,is_first_generation_learner,location_type,dropout_status
S41056,2.61,0.183,2,13.9,0.90,3,15.9,0.26,28,1,FALSE,FALSE,FALSE,Rural,0
S89379,2.77,0.121,0,16.6,0.95,4,13.3,0.13,21,0,TRUE,FALSE,FALSE,Urban,0
S76931,3.34,0.164,0,16.2,0.91,5,15.1,0.04,35,2,TRUE,TRUE,TRUE,Urban,0
S38739,3.59,0.107,0,15.2,0.96,5,16.6,0.10,28,2,TRUE,TRUE,FALSE,Rural,0
S97159,2.67,0.179,2,12.9,0.71,4,6.4,0.24,7,3,FALSE,TRUE,FALSE,Rural,0
S12063,3.38,0.141,0,16.6,0.94,3,16.2,0.42,12,3,TRUE,TRUE,FALSE,Rural,0
S40778,2.25,0.127,0,12.2,0.75,4,17.2,0.43,15,4,TRUE,TRUE,TRUE,Urban,0
S79566,3.69,0.273,0,15.7,0.95,5,18.4,0.01,52,3,TRUE,TRUE,FALSE,Rural,0
S91323,2.21,0.111,1,12.4,0.72,2,10.7,0.17,11,1,FALSE,FALSE,TRUE,Rural,0
S46822,3.22,0.091,0,16.6,0.93,4,23.5,0.08,25,2,TRUE,FALSE,FALSE,Rural,0
S45698,3.75,0.104,0,17.2,0.96,4,24.2,0.08,29,1,TRUE,FALSE,TRUE,Urban,0
S18039,1.34,-0.340,2,14.9,0.56,3,5.4,0.47,4,1,FALSE,FALSE,FALSE,Rural,0
S10601,1.94,-0.449,3,13.6,0.68,1,0.8,0.64,8,1,FALSE,TRUE,TRUE,Rural,1
S19339,1.97,-0.461,2,11.1,0.66,1,2.8,0.72,8,1,FALSE,TRUE,TRUE,Urban,0
S31951,3.81,0.024,0,17.8,0.97,4,18.5,0.04,38,2,TRUE,FALSE,FALSE,Urban,0
S77948,3.28,0.016,0,12.6,0.92,4,13.7,0.23,23,2,FALSE,FALSE,FALSE,Rural,0
S41766,2.63,-0.049,1,14.9,0.82,4,8.4,0.20,5,4,TRUE,TRUE,FALSE,Rural,0
S37474,1.12,-0.283,1,9.4,0.79,3,3.8,0.89,9,0,FALSE,TRUE,FALSE,Urban,1
S32529,3.27,-0.092,1,15.5,0.81,2,18.9,0.42,15,0,FALSE,FALSE,FALSE,Rural,0
S47968,3.68,0.267,0,15.7,0.96,5,24.8,0.05,30,1,TRUE,FALSE,FALSE,Rural,0
S81051,3.20,0.038,2,12.2,0.80,2,8.9,0.10,8,1,FALSE,TRUE,FALSE,Rural,0
S50072,2.89,-0.026,1,16.8,0.76,3,7.2,0.24,7,3,FALSE,FALSE,FALSE,Urban,0
S78876,3.37,0.035,0,16.0,0.99,5,15.3,0.05,51,3,TRUE,TRUE,TRUE,Urban,0
S90632,3.71,0.250,0,15.6,0.97,4,21.8,0.04,20,2,TRUE,FALSE,TRUE,Rural,0
S16551,3.33,0.130,0,17.1,0.97,5,19.4,0.08,31,2,TRUE,FALSE,TRUE,Urban,0
S12680,3.96,0.153,0,15.2,0.91,5,19.8,0.00,53,3,TRUE,FALSE,FALSE,Rural,0
S43929,3.15,0.066,1,13.3,0.70,2,16.5,0.30,10,2,TRUE,FALSE,FALSE,Rural,1
S49212,3.35,0.137,0,15.1,0.94,4,22.7,0.08,23,2,TRUE,TRUE,TRUE,Urban,0
S82881,1.53,-0.321,1,11.9,0.41,1,4.3,0.50,8,0,FALSE,FALSE,TRUE,Rural,0
S97813,3.38,0.067,0,16.2,0.90,5,23.1,0.08,41,1,TRUE,FALSE,TRUE,Urban,0
S65807,2.38,0.114,0,14.5,0.95,4,9.7,0.43,22,3,FALSE,TRUE,TRUE,Urban,0
S16053,1.27,-0.402,4,10.4,0.42,1,7.1,0.68,9,1,FALSE,FALSE,TRUE,Urban,1
S22057,2.84,0.117,2,16.1,0.93,4,10.3,0.19,20,2,TRUE,FALSE,TRUE,Rural,0
S27870,1.40,-0.255,1,14.8,0.44,1,2.8,1.00,6,0,FALSE,FALSE,TRUE,Urban,1
S96443,1.77,-0.149,4,9.2,0.56,3,6.8,0.57,3,0,FALSE,TRUE,FALSE,Urban,1
S82580,3.12,0.010,2,12.9,0.85,4,12.1,0.25,17,4,TRUE,FALSE,TRUE,Rural,0
S98636,1.84,-0.194,3,13.6,0.54,1,8.0,0.81,8,0,FALSE,FALSE,FALSE,Urban,1
S85085,1.95,-0.276,1,10.7,0.71,3,3.1,0.59,4,1,FALSE,FALSE,TRUE,Urban,0
S18958,2.74,-0.111,0,16.3,0.76,2,13.2,0.34,23,0,FALSE,TRUE,FALSE,Rural,0
S61086,2.28,0.191,2,12.9,0.86,3,13.6,0.15,27,2,FALSE,FALSE,TRUE,Urban,0
S69991,3.92,0.014,0,15.8,0.91,5,22.6,0.06,42,3,TRUE,TRUE,FALSE,Urban,0
S99269,2.21,0.132,1,14.2,0.83,4,19.6,0.24,15,0,TRUE,FALSE,FALSE,Rural,0
S43633,2.95,-0.048,1,12.5,0.92,4,6.2,0.09,34,1,FALSE,TRUE,FALSE,Rural,0
S43593,3.83,0.102,0,16.4,0.92,4,17.8,0.09,28,1,TRUE,TRUE,TRUE,Urban,0
S90310,3.89,0.191,0,17.9,0.99,4,20.3,0.03,58,1,TRUE,FALSE,TRUE,Urban,0
S97766,3.25,0.016,0,16.6,0.92,4,21.3,0.07,21,3,TRUE,TRUE,TRUE,Rural,0
S84148,2.88,0.108,1,17.5,0.93,2,6.0,0.07,27,0,TRUE,FALSE,TRUE,Urban,0
S96206,2.83,-0.001,1,17.4,0.93,4,5.5,0.41,15,2,FALSE,FALSE,TRUE,Rural,1
S53644,2.34,-0.157,1,17.5,0.72,4,18.4,0.32,25,2,TRUE,FALSE,TRUE,Rural,0
S92103,3.41,0.170,0,15.0,0.93,4,21.8,0.02,48,1,TRUE,TRUE,FALSE,Urban,0
S48076,2.57,0.045,2,13.7,0.77,3,13.5,0.24,11,1,FALSE,FALSE,FALSE,Rural,1
S93000,2.45,0.054,2,18.0,0.79,2,15.5,0.23,26,1,TRUE,FALSE,TRUE,Urban,0
S94723,3.33,0.279,0,17.3,0.95,5,16.1,0.08,26,3,TRUE,FALSE,TRUE,Urban,0
S69384,3.20,-0.081,2,14.4,0.80,3,15.0,0.30,13,1,TRUE,TRUE,TRUE,Rural,0
S45329,2.22,0.034,2,18.0,0.87,2,12.3,0.20,8,3,TRUE,TRUE,TRUE,Rural,0
S17061,1.36,-0.145,4,12.8,0.52,1,5.5,0.72,2,0,FALSE,FALSE,TRUE,Urban,1
S75911,2.57,0.172,1,14.7,0.88,2,6.2,0.06,28,4,TRUE,FALSE,TRUE,Urban,1
S23992,2.54,0.084,2,17.6,0.91,4,7.8,0.21,29,4,TRUE,FALSE,TRUE,Urban,0
S63536,3.00,-0.139,1,12.4,0.92,4,12.3,0.11,5,2,FALSE,FALSE,TRUE,Rural,0
S67292,3.27,-0.053,1,13.9,0.75,4,18.6,0.25,32,0,TRUE,FALSE,FALSE,Rural,1
S28710,3.62,0.172,0,17.5,0.95,5,18.2,0.06,52,1,TRUE,FALSE,FALSE,Rural,0
S50835,3.30,0.196,0,16.1,0.95,5,19.6,0.05,56,2,TRUE,FALSE,TRUE,Rural,0
S86178,3.30,0.009,0,16.6,0.90,4,19.4,0.10,55,2,TRUE,TRUE,TRUE,Urban,0
S41293,1.97,-0.385,1,12.2,0.69,2,5.9,0.89,5,1,FALSE,FALSE,FALSE,Urban,0
S60473,3.00,-0.111,2,12.7,0.76,2,8.0,0.18,14,4,FALSE,TRUE,TRUE,Urban,0
S36857,3.31,0.197,0,15.5,0.99,4,17.3,0.10,31,2,TRUE,TRUE,TRUE,Rural,0
S49746,3.23,-0.015,2,14.0,0.78,4,13.6,0.22,31,4,TRUE,TRUE,TRUE,Rural,1
S41495,2.40,-0.149,2,14.9,0.77,3,14.7,0.28,27,4,TRUE,FALSE,FALSE,Urban,0
S68562,2.71,0.118,2,17.2,0.73,4,16.5,0.35,15,3,TRUE,TRUE,FALSE,Rural,0
S23903,2.67,0.065,1,14.5,0.89,3,5.1,0.18,24,4,FALSE,FALSE,FALSE,Urban,0
S57018,3.77,0.252,0,15.1,0.96,5,24.1,0.07,40,3,TRUE,FALSE,FALSE,Rural,0
S22028,2.35,-0.107,2,15.8,0.72,3,19.6,0.08,20,4,FALSE,FALSE,FALSE,Urban,0
S63415,3.84,0.064,0,15.9,0.98,4,16.3,0.04,29,3,TRUE,TRUE,FALSE,Rural,0
S64902,3.44,0.285,0,17.3,0.92,5,22.1,0.02,21,3,TRUE,TRUE,TRUE,Urban,0
S57220,3.99,0.140,0,17.6,0.99,5,19.6,0.08,47,1,TRUE,FALSE,TRUE,Rural,0
S42517,2.92,-0.139,1,17.9,0.94,3,9.3,0.40,34,3,TRUE,FALSE,FALSE,Urban,0
S40626,3.79,0.137,0,17.3,0.99,5,16.6,0.06,52,1,TRUE,FALSE,FALSE,Urban,0
S96217,2.99,0.089,2,13.2,0.85,2,16.7,0.07,5,0,FALSE,TRUE,TRUE,Rural,0
S81262,2.43,0.094,2,15.7,0.83,3,16.8,0.37,32,3,FALSE,TRUE,TRUE,Urban,1
S49014,3.80,0.163,0,15.4,0.99,5,18.7,0.08,43,3,TRUE,TRUE,FALSE,Urban,0
S17783,3.89,0.118,0,17.8,0.98,5,21.7,0.08,23,1,TRUE,FALSE,FALSE,Urban,0
S36806,2.30,0.003,0,13.6,0.87,3,8.0,0.16,31,2,TRUE,TRUE,FALSE,Urban,0
S24582,3.21,-0.049,1,16.3,0.78,4,11.7,0.24,16,0,TRUE,FALSE,TRUE,Rural,0
S54865,2.82,0.096,2,16.3,0.82,2,13.4,0.34,32,3,TRUE,TRUE,TRUE,Urban,0
S56025,3.99,0.151,0,15.2,0.92,5,19.2,0.09,32,1,TRUE,FALSE,TRUE,Urban,0
S61795,3.74,0.191,0,16.2,0.99,4,21.2,0.09,41,2,TRUE,FALSE,TRUE,Urban,0
S10916,2.27,-0.073,0,14.5,0.81,4,17.2,0.40,33,3,FALSE,FALSE,TRUE,Rural,0
S78144,2.51,-0.070,1,16.6,0.93,3,9.3,0.11,25,3,TRUE,TRUE,TRUE,Rural,0
S56167,2.81,-0.105,1,16.4,0.79,3,16.0,0.44,27,0,TRUE,TRUE,FALSE,Urban,0
S74794,2.89,-0.046,1,14.4,0.73,2,19.3,0.39,27,3,TRUE,TRUE,FALSE,Rural,1
S22724,3.44,0.290,0,16.5,0.95,4,18.7,0.07,58,3,TRUE,FALSE,FALSE,Rural,0
S12971,1.18,-0.218,4,9.1,0.74,3,7.6,0.53,2,1,FALSE,TRUE,FALSE,Rural,1
S70303,2.71,-0.087,2,17.0,0.95,4,13.0,0.35,33,4,FALSE,FALSE,FALSE,Urban,0
S89626,1.18,-0.312,4,12.4,0.79,2,3.3,0.55,2,0,FALSE,FALSE,FALSE,Rural,1
S70969,3.18,-0.073,2,15.7,0.88,3,19.6,0.41,11,1,TRUE,FALSE,FALSE,Urban,0
S15551,3.20,0.130,0,16.0,0.93,5,19.1,0.10,49,2,TRUE,FALSE,TRUE,Urban,0
S90151,3.33,0.270,0,16.4,0.91,4,17.5,0.05,59,3,TRUE,FALSE,TRUE,Urban,0
S88234,3.68,0.092,0,16.3,0.96,5,16.5,0.09,36,1,TRUE,TRUE,FALSE,Urban,0
S14512,1.20,-0.434,3,14.5,0.46,3,6.0,0.57,4,1,FALSE,FALSE,FALSE,Urban,1
S26188,3.42,0.119,0,15.8,0.96,5,24.3,0.07,37,1,TRUE,FALSE,TRUE,Rural,0
S10676,1.16,-0.253,3,9.1,0.54,2,7.6,0.60,7,1,FALSE,TRUE,FALSE,Rural,1
S51896,2.53,0.065,2,16.5,0.88,4,13.7,0.13,33,3,FALSE,TRUE,TRUE,Rural,0
S51861,3.89,0.014,0,16.6,0.94,4,23.2,0.00,53,3,TRUE,TRUE,TRUE,Urban,0
S78202,2.84,0.109,0,13.7,0.85,4,17.9,0.09,21,0,TRUE,TRUE,TRUE,Rural,0
S72143,2.82,-0.116,1,14.2,0.91,3,5.8,0.39,26,0,TRUE,FALSE,FALSE,Urban,1
S32950,3.04,0.186,1,12.0,0.87,3,7.5,0.38,23,4,TRUE,TRUE,TRUE,Rural,0
S14208,3.21,-0.140,1,17.5,0.93,2,17.8,0.32,10,4,TRUE,FALSE,TRUE,Urban,0
S81408,3.46,0.282,0,15.4,0.94,4,20.3,0.01,31,1,TRUE,FALSE,TRUE,Rural,0
S90576,3.83,0.199,0,16.7,0.97,4,22.2,0.07,51,1,TRUE,FALSE,TRUE,Rural,0
S30725,3.93,0.091,0,16.6,0.96,5,22.7,0.02,50,3,TRUE,FALSE,TRUE,Urban,0
S69779,2.87,0.152,0,13.7,0.91,4,8.9,0.15,33,3,FALSE,TRUE,FALSE,Urban,1
S82617,2.77,-0.092,2,15.1,0.71,4,12.9,0.32,33,0,TRUE,TRUE,FALSE,Rural,0
S14762,2.56,0.013,1,12.3,0.92,2,11.1,0.13,7,0,FALSE,TRUE,TRUE,Rural,0
S40984,1.80,-0.337,4,14.9,0.50,2,2.3,0.56,1,1,FALSE,TRUE,FALSE,Rural,1
S81265,2.38,-0.006,0,12.6,0.87,4,11.5,0.11,23,0,FALSE,FALSE,TRUE,Rural,0
S14122,3.70,0.073,0,16.5,0.99,5,15.2,0.05,29,1,TRUE,FALSE,FALSE,Rural,0
S67662,1.88,-0.231,4,15.0,0.63,2,5.6,0.83,3,1,FALSE,FALSE,FALSE,Rural,1
S46656,1.31,-0.261,3,12.3,0.43,3,0.3,0.66,8,0,FALSE,TRUE,TRUE,Urban,1
S65536,2.53,0.055,0,13.5,0.94,2,10.2,0.18,27,4,TRUE,FALSE,FALSE,Urban,0
S46986,3.88,0.203,0,17.1,0.94,4,19.8,0.08,45,1,TRUE,FALSE,TRUE,Urban,0
S42665,3.11,0.029,1,17.6,0.88,4,8.1,0.27,21,3,FALSE,TRUE,TRUE,Urban,0
S10632,3.92,0.104,0,15.9,0.95,4,18.0,0.09,38,3,TRUE,FALSE,FALSE,Rural,0
S48227,3.60,0.102,0,17.4,0.90,4,17.2,0.00,54,1,TRUE,FALSE,TRUE,Rural,0
S18758,3.03,0.015,2,15.3,0.92,3,18.4,0.30,31,1,TRUE,FALSE,FALSE,Rural,0
S66914,1.48,-0.438,3,9.5,0.59,3,4.0,0.44,1,0,FALSE,TRUE,TRUE,Rural,0
S78162,2.53,0.119,2,15.1,0.74,4,19.5,0.18,16,2,FALSE,FALSE,FALSE,Rural,0
S69110,1.26,-0.113,3,12.0,0.44,2,4.9,0.47,4,1,FALSE,TRUE,FALSE,Rural,1
S37441,3.33,0.150,0,17.9,0.96,5,17.8,0.01,47,1,TRUE,FALSE,TRUE,Rural,0
S54655,3.18,-0.111,1,15.4,0.83,3,8.1,0.28,15,3,FALSE,TRUE,TRUE,Urban,1
S54919,2.99,0.117,1,14.2,0.77,3,10.1,0.44,11,3,TRUE,FALSE,FALSE,Urban,1
S21526,3.37,0.225,0,17.8,0.94,5,24.2,0.09,25,2,TRUE,FALSE,FALSE,Urban,0
S32613,3.59,0.113,0,16.8,0.92,5,24.4,0.08,56,2,TRUE,FALSE,FALSE,Urban,0
S43011,3.38,0.097,0,15.6,0.94,5,22.7,0.01,31,3,TRUE,TRUE,TRUE,Urban,0
S49384,1.50,-0.150,1,9.3,0.71,2,4.1,0.91,6,1,FALSE,FALSE,TRUE,Rural,1
S32193,3.78,0.223,0,15.0,0.92,5,15.9,0.07,57,1,TRUE,FALSE,TRUE,Urban,0
S25791,3.51,0.239,0,16.9,0.94,5,21.3,0.10,59,2,TRUE,FALSE,FALSE,Urban,0
S81460,3.29,0.084,0,15.3,0.95,5,20.8,0.07,46,1,TRUE,TRUE,TRUE,Rural,0
S73382,3.53,0.178,0,15.9,0.99,5,15.2,0.05,27,2,TRUE,FALSE,FALSE,Rural,0
S38275,3.80,0.155,0,17.1,0.96,5,24.3,0.02,30,3,TRUE,TRUE,FALSE,Rural,0
S80957,3.24,0.231,0,15.8,0.93,4,18.0,0.08,39,2,TRUE,TRUE,TRUE,Rural,0
S28538,2.06,-0.332,4,12.9,0.52,1,3.9,0.49,2,1,FALSE,FALSE,FALSE,Rural,1
S79326,3.70,0.261,0,16.2,0.90,5,16.3,0.09,21,2,TRUE,FALSE,TRUE,Urban,0
S57551,1.88,-0.191,4,11.3,0.44,1,6.2,0.46,9,0,FALSE,TRUE,FALSE,Urban,0
S26276,3.28,0.175,1,14.9,0.80,3,16.1,0.37,8,3,FALSE,TRUE,FALSE,Rural,0
S43000,3.39,0.128,0,17.7,0.90,5,18.0,0.03,33,1,TRUE,TRUE,TRUE,Rural,0
S58518,3.34,0.022,0,17.7,0.92,5,24.7,0.05,33,3,TRUE,FALSE,FALSE,Rural,0
S53939,2.32,0.149,0,13.1,0.79,2,19.7,0.24,20,0,TRUE,TRUE,FALSE,Urban,1
S89697,3.21,0.089,0,15.4,0.94,4,19.1,0.00,36,3,TRUE,FALSE,FALSE,Urban,0
S92470,2.52,0.133,1,12.2,0.85,4,18.1,0.32,15,0,TRUE,FALSE,TRUE,Urban,0
S97447,3.48,0.003,0,15.2,0.95,4,24.0,0.08,38,2,TRUE,TRUE,FALSE,Rural,0
S42181,3.37,0.085,0,15.3,0.97,4,15.3,0.08,22,1,TRUE,FALSE,FALSE,Rural,0
S75330,3.14,-0.037,1,15.4,0.70,4,5.2,0.29,12,1,FALSE,FALSE,FALSE,Urban,1
S78037,3.56,0.161,0,16.3,0.92,5,20.7,0.09,45,2,TRUE,TRUE,TRUE,Urban,0
S32925,3.41,0.180,0,17.1,0.94,5,16.3,0.02,46,3,TRUE,TRUE,TRUE,Rural,0
S73455,3.41,0.275,0,17.0,0.92,5,24.3,0.06,37,2,TRUE,TRUE,FALSE,Urban,0
S73159,2.96,-0.170,0,16.6,0.91,3,18.3,0.40,18,0,FALSE,TRUE,FALSE,Urban,0
S20770,1.78,-0.345,3,10.8,0.43,2,3.4,0.88,0,1,FALSE,TRUE,FALSE,Urban,1
S36564,3.38,0.112,0,16.6,0.99,4,21.2,0.09,41,3,TRUE,TRUE,TRUE,Urban,0
S11227,2.40,-0.141,2,12.5,0.91,3,9.3,0.34,6,4,TRUE,TRUE,FALSE,Urban,0
S39439,3.93,0.222,0,17.0,0.91,5,24.0,0.05,45,3,TRUE,TRUE,TRUE,Urban,0
S21707,3.50,0.038,0,15.3,0.95,5,16.6,0.09,42,1,TRUE,FALSE,FALSE,Rural,0
S64651,3.55,0.254,0,15.3,0.93,4,24.1,0.03,21,3,TRUE,FALSE,TRUE,Urban,0
S93785,3.38,-0.175,2,14.9,0.92,4,17.8,0.44,29,0,FALSE,FALSE,FALSE,Urban,0
S53061,1.66,-0.332,3,10.9,0.45,3,8.0,0.60,7,1,FALSE,FALSE,TRUE,Urban,1
S18215,2.50,0.068,1,13.2,0.83,3,12.7,0.12,7,1,TRUE,TRUE,TRUE,Rural,0
S65796,3.40,0.262,0,16.9,0.98,5,18.0,0.00,58,2,TRUE,TRUE,TRUE,Rural,0
S50565,3.99,0.103,0,15.2,0.94,5,25.0,0.05,36,3,TRUE,FALSE,TRUE,Rural,0
S53480,2.92,0.094,0,14.2,0.78,4,16.6,0.19,9,0,TRUE,FALSE,TRUE,Urban,1
S87076,3.07,0.129,2,14.6,0.84,4,10.8,0.10,32,3,FALSE,TRUE,FALSE,Urban,0
S62450,3.16,-0.082,0,17.1,0.79,4,7.5,0.32,31,2,TRUE,TRUE,FALSE,Urban,1
S77716,2.61,-0.134,2,15.2,0.88,2,10.4,0.08,11,3,TRUE,TRUE,FALSE,Rural,0
S96112,3.26,-0.189,0,13.6,0.85,2,10.3,0.09,27,0,TRUE,FALSE,FALSE,Rural,1
S69363,3.28,0.185,0,15.0,0.97,5,16.5,0.00,56,2,TRUE,TRUE,FALSE,Urban,0
S95653,3.25,-0.133,0,14.6,0.87,2,8.7,0.08,8,4,TRUE,TRUE,FALSE,Rural,0
S38955,2.60,-0.176,2,13.7,0.80,2,5.8,0.32,5,1,FALSE,FALSE,TRUE,Rural,0
S39580,2.98,-0.092,0,13.5,0.90,2,8.3,0.19,17,4,TRUE,FALSE,FALSE,Rural,0
S57414,3.04,0.041,0,17.7,0.93,3,12.0,0.14,6,3,TRUE,TRUE,FALSE,Rural,0
S25714,2.88,-0.078,0,17.3,0.92,2,8.8,0.16,10,1,TRUE,FALSE,FALSE,Urban,0
S98100,3.40,0.257,0,17.9,0.94,5,18.3,0.01,33,2,TRUE,FALSE,TRUE,Rural,0
S86359,1.97,-0.458,2,14.6,0.51,2,7.9,0.74,3,0,FALSE,TRUE,TRUE,Rural,1
S18572,2.65,-0.022,0,12.5,0.77,3,18.2,0.18,28,2,FALSE,TRUE,FALSE,Urban,1
S83375,1.90,-0.343,1,12.3,0.43,1,1.4,0.86,9,0,FALSE,TRUE,TRUE,Rural,1
S50497,2.24,0.199,2,12.1,0.85,4,19.6,0.33,7,4,TRUE,FALSE,FALSE,Rural,0
S58695,1.28,-0.139,4,13.0,0.77,3,2.4,0.89,1,0,FALSE,TRUE,FALSE,Urban,1
S79953,1.72,-0.260,2,9.6,0.56,1,4.2,0.55,5,1,FALSE,FALSE,FALSE,Urban,1
S54744,3.19,0.110,0,17.8,0.93,2,13.5,0.35,8,1,TRUE,FALSE,FALSE,Urban,0
S90768,2.76,0.003,1,14.8,0.80,4,19.6,0.37,8,0,TRUE,FALSE,FALSE,Rural,0
S95892,3.30,0.150,0,16.3,0.94,4,22.8,0.01,34,1,TRUE,FALSE,TRUE,Rural,0
S86333,3.16,0.111,1,15.3,0.77,4,12.5,0.17,18,0,FALSE,TRUE,FALSE,Rural,0
S86456,3.77,0.128,0,17.4,0.99,5,24.3,0.09,56,1,TRUE,FALSE,FALSE,Rural,0
S96165,2.49,-0.118,2,15.9,0.84,2,18.3,0.44,12,2,TRUE,TRUE,TRUE,Urban,0
S72379,2.32,-0.061,1,14.4,0.88,3,9.9,0.13,22,2,TRUE,TRUE,TRUE,Urban,1
S12408,2.03,-0.101,1,13.7,0.64,3,7.0,0.86,1,1,FALSE,TRUE,FALSE,Rural,1
S74807,2.35,-0.142,2,13.8,0.78,2,15.0,0.43,5,1,FALSE,TRUE,FALSE,Rural,1
S27030,3.78,0.237,0,15.8,0.97,4,16.9,0.02,44,1,TRUE,TRUE,FALSE,Urban,0
S91833,2.94,-0.067,2,15.6,0.71,4,18.0,0.18,33,4,FALSE,FALSE,FALSE,Rural,0
S58481,3.27,0.296,0,15.2,0.91,5,16.8,0.02,50,1,TRUE,FALSE,FALSE,Urban,0
S43490,3.63,0.206,0,15.7,0.97,4,18.7,0.07,32,1,TRUE,TRUE,FALSE,Urban,0
S99559,2.57,-0.075,2,12.2,0.91,4,12.9,0.36,34,3,TRUE,FALSE,TRUE,Urban,0
S29501,2.61,0.021,2,12.9,0.91,3,15.2,0.41,7,2,TRUE,TRUE,TRUE,Rural,1
S36938,3.40,0.033,2,16.6,0.87,3,16.9,0.21,22,3,TRUE,TRUE,TRUE,Rural,0
S98812,4.00,0.102,0,16.2,0.94,4,17.4,0.08,56,3,TRUE,FALSE,TRUE,Urban,0
S86928,2.87,0.011,0,12.2,0.85,2,5.4,0.09,31,4,FALSE,TRUE,TRUE,Urban,0
S79785,3.90,0.014,0,15.2,0.95,5,23.6,0.04,29,3,TRUE,TRUE,FALSE,Rural,0
S80011,2.68,0.098,1,14.5,0.70,3,7.0,0.22,24,4,TRUE,FALSE,TRUE,Urban,0
S70467,2.86,-0.105,2,15.9,0.80,3,13.2,0.17,32,4,TRUE,TRUE,TRUE,Rural,0
S56368,3.21,0.152,0,18.0,0.99,5,17.5,0.02,56,2,TRUE,TRUE,TRUE,Urban,0
S98568,1.41,-0.408,1,11.8,0.53,1,5.2,0.90,5,1,FALSE,FALSE,TRUE,Urban,1
S40253,2.12,-0.289,1,10.6,0.48,3,5.8,0.92,6,1,FALSE,TRUE,FALSE,Rural,1
S32305,3.92,0.145,0,16.6,0.96,4,15.4,0.08,25,1,TRUE,FALSE,TRUE,Rural,0
S22993,2.41,0.058,1,14.6,0.86,3,19.6,0.10,13,3,FALSE,TRUE,FALSE,Urban,1
S25831,3.76,0.042,0,17.9,0.95,4,16.8,0.01,45,3,TRUE,FALSE,TRUE,Rural,0
S56304,3.35,0.175,0,17.5,0.96,5,23.0,0.04,42,2,TRUE,FALSE,TRUE,Urban,0
S38643,2.95,-0.170,2,17.0,0.89,4,9.8,0.11,19,4,FALSE,TRUE,FALSE,Rural,0
